go_term	description	secretome_genes	non_secretome_genes	prob of combination	expected	population	Bonferonni corrected p-value
GO:0004417	hydroxyethylthiazole kinase activity	0	1	0	0.935849	1	161.5579049
GO:0006106	fumarate metabolic process	0	1	0	0.935849	1	161.5579049
GO:0004783	sulfite reductase (NADPH) activity	0	1	0	0.935849	1	161.5579049
GO:0070985	TFIIK complex	0	1	0	0.935849	1	161.5579049
GO:0043144	snoRNA processing	0	1	0	0.935849	1	161.5579049
GO:0006998	nuclear envelope organization	0	1	0	0.935849	1	161.5579049
GO:0034477	U6 snRNA 3'-end processing	0	1	0	0.935849	1	161.5579049
GO:0006420	arginyl-tRNA aminoacylation	0	1	0	0.935849	1	161.5579049
GO:0019120	"hydrolase activity, acting on acid halide bonds, in C-halide compounds"	0	1	0	0.935849	1	161.5579049
GO:0003870	5-aminolevulinate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0018344	protein geranylgeranylation	0	1	0	0.935849	1	161.5579049
GO:0006729	tetrahydrobiopterin biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004594	pantothenate kinase activity	0	1	0	0.935849	1	161.5579049
GO:0004748	"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"	0	1	0	0.935849	1	161.5579049
GO:0004726	non-membrane spanning protein tyrosine phosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0015629	actin cytoskeleton	0	1	0	0.935849	1	161.5579049
GO:0004425	indole-3-glycerol-phosphate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004820	glycine-tRNA ligase activity	0	1	0	0.935849	1	161.5579049
GO:0008972	phosphomethylpyrimidine kinase activity	0	1	0	0.935849	1	161.5579049
GO:0006233	dTDP biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0003883	CTP synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004047	aminomethyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004794	L-threonine ammonia-lyase activity	0	1	0	0.935849	1	161.5579049
GO:0000011	vacuole inheritance	0	1	0	0.935849	1	161.5579049
GO:0015700	arsenite transport	0	1	0	0.935849	1	161.5579049
GO:0006212	uracil catabolic process	0	1	0	0.935849	1	161.5579049
GO:0000785	chromatin	0	1	0	0.935849	1	161.5579049
GO:0006869	lipid transport	0	1	0	0.935849	1	161.5579049
GO:0006075	(1->3)-beta-D-glucan biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004357	glutamate-cysteine ligase activity	0	1	0	0.935849	1	161.5579049
GO:0032220	plasma membrane fusion involved in cytogamy	0	1	0	0.935849	1	161.5579049
GO:0030955	potassium ion binding	0	1	0	0.935849	1	161.5579049
GO:0030697	S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0046975	histone methyltransferase activity (H3-K36 specific)	0	1	0	0.935849	1	161.5579049
GO:0004382	guanosine-diphosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0034023	5-(carboxyamino)imidazole ribonucleotide mutase activity	0	1	0	0.935849	1	161.5579049
GO:0019551	glutamate catabolic process to 2-oxoglutarate	0	1	0	0.935849	1	161.5579049
GO:0032508	DNA duplex unwinding	0	1	0	0.935849	1	161.5579049
GO:0006571	tyrosine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0008170	N-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0015976	carbon utilization	0	1	0	0.935849	1	161.5579049
GO:0019439	aromatic compound catabolic process	0	1	0	0.935849	1	161.5579049
GO:0004077	biotin-[acetyl-CoA-carboxylase] ligase activity	0	1	0	0.935849	1	161.5579049
GO:0004455	ketol-acid reductoisomerase activity	0	1	0	0.935849	1	161.5579049
GO:0000390	spliceosomal complex disassembly	0	1	0	0.935849	1	161.5579049
GO:0031591	wybutosine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0044070	regulation of anion transport	0	1	0	0.935849	1	161.5579049
GO:0015074	DNA integration	0	1	0	0.935849	1	161.5579049
GO:0006878	cellular copper ion homeostasis	0	1	0	0.935849	1	161.5579049
GO:0009253	peptidoglycan catabolic process	0	1	0	0.935849	1	161.5579049
GO:0030674	"protein binding, bridging"	0	1	0	0.935849	1	161.5579049
GO:0016602	CCAAT-binding factor complex	0	1	0	0.935849	1	161.5579049
GO:0000221	"vacuolar proton-transporting V-type ATPase, V1 domain"	0	1	0	0.935849	1	161.5579049
GO:0004126	cytidine deaminase activity	0	1	0	0.935849	1	161.5579049
GO:0000910	cytokinesis	0	1	0	0.935849	1	161.5579049
GO:0031123	RNA 3'-end processing	0	1	0	0.935849	1	161.5579049
GO:0004325	ferrochelatase activity	0	1	0	0.935849	1	161.5579049
GO:0009432	SOS response	0	1	0	0.935849	1	161.5579049
GO:0004665	prephenate dehydrogenase (NADP+) activity	0	1	0	0.935849	1	161.5579049
GO:0006661	phosphatidylinositol biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0000172	ribonuclease MRP complex	0	1	0	0.935849	1	161.5579049
GO:0000214	tRNA-intron endonuclease complex	0	1	0	0.935849	1	161.5579049
GO:0000379	tRNA-type intron splice site recognition and cleavage	0	1	0	0.935849	1	161.5579049
GO:0016560	"protein import into peroxisome matrix, docking"	0	1	0	0.935849	1	161.5579049
GO:0008892	guanine deaminase activity	0	1	0	0.935849	1	161.5579049
GO:0009117	nucleotide metabolic process	0	1	0	0.935849	1	161.5579049
GO:0003689	DNA clamp loader activity	0	1	0	0.935849	1	161.5579049
GO:0019363	pyridine nucleotide biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0006545	glycine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004318	enoyl-[acyl-carrier-protein] reductase (NADH) activity	0	1	0	0.935849	1	161.5579049
GO:0000179	"rRNA (adenine-N6,N6-)-dimethyltransferase activity"	0	1	0	0.935849	1	161.5579049
GO:0019310	inositol catabolic process	0	1	0	0.935849	1	161.5579049
GO:0000045	autophagic vacuole assembly	0	1	0	0.935849	1	161.5579049
GO:0010212	response to ionizing radiation	0	1	0	0.935849	1	161.5579049
GO:0004016	adenylate cyclase activity	0	1	0	0.935849	1	161.5579049
GO:0016040	glutamate synthase (NADH) activity	0	1	0	0.935849	1	161.5579049
GO:0006796	phosphate-containing compound metabolic process	0	1	0	0.935849	1	161.5579049
GO:0000266	mitochondrial fission	0	1	0	0.935849	1	161.5579049
GO:0031902	late endosome membrane	0	1	0	0.935849	1	161.5579049
GO:0047429	nucleoside-triphosphate diphosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0090399	replicative senescence	0	1	0	0.935849	1	161.5579049
GO:0005415	nucleoside:sodium symporter activity	0	1	0	0.935849	1	161.5579049
GO:0008308	voltage-gated anion channel activity	0	1	0	0.935849	1	161.5579049
GO:0004817	cysteine-tRNA ligase activity	0	1	0	0.935849	1	161.5579049
GO:0006425	glutaminyl-tRNA aminoacylation	0	1	0	0.935849	1	161.5579049
GO:0004852	uroporphyrinogen-III synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004853	uroporphyrinogen decarboxylase activity	0	1	0	0.935849	1	161.5579049
GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity	0	1	0	0.935849	1	161.5579049
GO:0051764	actin crosslink formation	0	1	0	0.935849	1	161.5579049
GO:0000087	M phase of mitotic cell cycle	0	1	0	0.935849	1	161.5579049
GO:0006333	chromatin assembly or disassembly	0	1	0	0.935849	1	161.5579049
GO:0009337	sulfite reductase complex (NADPH)	0	1	0	0.935849	1	161.5579049
GO:0042632	cholesterol homeostasis	0	1	0	0.935849	1	161.5579049
GO:0008198	ferrous iron binding	0	1	0	0.935849	1	161.5579049
GO:0000123	histone acetyltransferase complex	0	1	0	0.935849	1	161.5579049
GO:0070409	carbamoyl phosphate biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0006208	pyrimidine nucleobase catabolic process	0	1	0	0.935849	1	161.5579049
GO:0043754	dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity	0	1	0	0.935849	1	161.5579049
GO:0000275	"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)"	0	1	0	0.935849	1	161.5579049
GO:0019878	lysine biosynthetic process via aminoadipic acid	0	1	0	0.935849	1	161.5579049
GO:0006635	fatty acid beta-oxidation	0	1	0	0.935849	1	161.5579049
GO:0004399	histidinol dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0003997	acyl-CoA oxidase activity	0	1	0	0.935849	1	161.5579049
GO:0046577	long-chain-alcohol oxidase activity	0	1	0	0.935849	1	161.5579049
GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0016206	catechol O-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0004042	acetyl-CoA:L-glutamate N-acetyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0004765	shikimate kinase activity	0	1	0	0.935849	1	161.5579049
GO:0006885	regulation of pH	0	1	0	0.935849	1	161.5579049
GO:0016679	"oxidoreductase activity, acting on diphenols and related substances as donors"	0	1	0	0.935849	1	161.5579049
GO:0008250	oligosaccharyltransferase complex	0	1	0	0.935849	1	161.5579049
GO:0016480	negative regulation of transcription from RNA polymerase III promoter	0	1	0	0.935849	1	161.5579049
GO:0005795	Golgi stack	0	1	0	0.935849	1	161.5579049
GO:0000917	barrier septum assembly	0	1	0	0.935849	1	161.5579049
GO:0004608	phosphatidylethanolamine N-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0042558	pteridine-containing compound metabolic process	0	1	0	0.935849	1	161.5579049
GO:0000124	SAGA complex	0	1	0	0.935849	1	161.5579049
GO:0005960	glycine cleavage complex	0	1	0	0.935849	1	161.5579049
GO:0004637	phosphoribosylamine-glycine ligase activity	0	1	0	0.935849	1	161.5579049
GO:0080019	fatty-acyl-CoA reductase (alcohol-forming) activity	0	1	0	0.935849	1	161.5579049
GO:0043547	positive regulation of GTPase activity	0	1	0	0.935849	1	161.5579049
GO:0004746	riboflavin synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004590	orotidine-5'-phosphate decarboxylase activity	0	1	0	0.935849	1	161.5579049
GO:0016841	ammonia-lyase activity	0	1	0	0.935849	1	161.5579049
GO:0031515	tRNA (m1A) methyltransferase complex	0	1	0	0.935849	1	161.5579049
GO:0004844	uracil DNA N-glycosylase activity	0	1	0	0.935849	1	161.5579049
GO:0006824	cobalt ion transport	0	1	0	0.935849	1	161.5579049
GO:0009159	deoxyribonucleoside monophosphate catabolic process	0	1	0	0.935849	1	161.5579049
GO:0003867	4-aminobutyrate transaminase activity	0	1	0	0.935849	1	161.5579049
GO:0000282	cellular bud site selection	0	1	0	0.935849	1	161.5579049
GO:0003712	transcription cofactor activity	0	1	0	0.935849	1	161.5579049
GO:0000930	gamma-tubulin complex	0	1	0	0.935849	1	161.5579049
GO:0071266	'de novo' L-methionine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004419	hydroxymethylglutaryl-CoA lyase activity	0	1	0	0.935849	1	161.5579049
GO:0015099	nickel cation transmembrane transporter activity	0	1	0	0.935849	1	161.5579049
GO:0045329	carnitine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0046439	L-cysteine metabolic process	0	1	0	0.935849	1	161.5579049
GO:0017076	purine nucleotide binding	0	1	0	0.935849	1	161.5579049
GO:0042132	"fructose 1,6-bisphosphate 1-phosphatase activity"	0	1	0	0.935849	1	161.5579049
GO:0016117	carotenoid biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0003856	3-dehydroquinate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0005666	DNA-directed RNA polymerase III complex	0	1	0	0.935849	1	161.5579049
GO:0048268	clathrin coat assembly	0	1	0	0.935849	1	161.5579049
GO:0008409	5'-3' exonuclease activity	0	1	0	0.935849	1	161.5579049
GO:0004053	arginase activity	0	1	0	0.935849	1	161.5579049
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	0	1	0	0.935849	1	161.5579049
GO:0008158	hedgehog receptor activity	0	1	0	0.935849	1	161.5579049
GO:0005267	potassium channel activity	0	1	0	0.935849	1	161.5579049
GO:0004478	methionine adenosyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0009039	urease activity	0	1	0	0.935849	1	161.5579049
GO:0004834	tryptophan synthase activity	0	1	0	0.935849	1	161.5579049
GO:0000445	THO complex part of transcription export complex	0	1	0	0.935849	1	161.5579049
GO:0004122	cystathionine beta-synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004635	phosphoribosyl-AMP cyclohydrolase activity	0	1	0	0.935849	1	161.5579049
GO:0031071	cysteine desulfurase activity	0	1	0	0.935849	1	161.5579049
GO:0003713	transcription coactivator activity	0	1	0	0.935849	1	161.5579049
GO:0043419	urea catabolic process	0	1	0	0.935849	1	161.5579049
GO:0004061	arylformamidase activity	0	1	0	0.935849	1	161.5579049
GO:0006342	chromatin silencing	0	1	0	0.935849	1	161.5579049
GO:0004588	orotate phosphoribosyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0004618	phosphoglycerate kinase activity	0	1	0	0.935849	1	161.5579049
GO:0004657	proline dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0004350	glutamate-5-semialdehyde dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0008113	peptide-methionine (S)-S-oxide reductase activity	0	1	0	0.935849	1	161.5579049
GO:0004864	protein phosphatase inhibitor activity	0	1	0	0.935849	1	161.5579049
GO:0004550	nucleoside diphosphate kinase activity	0	1	0	0.935849	1	161.5579049
GO:0008073	ornithine decarboxylase inhibitor activity	0	1	0	0.935849	1	161.5579049
GO:0047617	acyl-CoA hydrolase activity	0	1	0	0.935849	1	161.5579049
GO:0003987	acetate-CoA ligase activity	0	1	0	0.935849	1	161.5579049
GO:0006090	pyruvate metabolic process	0	1	0	0.935849	1	161.5579049
GO:0019008	molybdopterin synthase complex	0	1	0	0.935849	1	161.5579049
GO:0004410	homocitrate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004115	"3',5'-cyclic-AMP phosphodiesterase activity"	0	1	0	0.935849	1	161.5579049
GO:0033164	glycolipid 6-alpha-mannosyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0008053	mitochondrial fusion	0	1	0	0.935849	1	161.5579049
GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	0	1	0	0.935849	1	161.5579049
GO:0005245	voltage-gated calcium channel activity	0	1	0	0.935849	1	161.5579049
GO:0004164	diphthine synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	0	1	0	0.935849	1	161.5579049
GO:0004729	oxygen-dependent protoporphyrinogen oxidase activity	0	1	0	0.935849	1	161.5579049
GO:0006597	spermine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0016615	malate dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0004476	mannose-6-phosphate isomerase activity	0	1	0	0.935849	1	161.5579049
GO:0048188	Set1C/COMPASS complex	0	1	0	0.935849	1	161.5579049
GO:0003862	3-isopropylmalate dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0004362	glutathione-disulfide reductase activity	0	1	0	0.935849	1	161.5579049
GO:0004418	hydroxymethylbilane synthase activity	0	1	0	0.935849	1	161.5579049
GO:0043142	single-stranded DNA-dependent ATPase activity	0	1	0	0.935849	1	161.5579049
GO:0008460	"dTDP-glucose 4,6-dehydratase activity"	0	1	0	0.935849	1	161.5579049
GO:0004151	dihydroorotase activity	0	1	0	0.935849	1	161.5579049
GO:0016879	"ligase activity, forming carbon-nitrogen bonds"	0	1	0	0.935849	1	161.5579049
GO:0004736	pyruvate carboxylase activity	0	1	0	0.935849	1	161.5579049
GO:0043967	histone H4 acetylation	0	1	0	0.935849	1	161.5579049
GO:0017022	myosin binding	0	1	0	0.935849	1	161.5579049
GO:0006605	protein targeting	0	1	0	0.935849	1	161.5579049
GO:0004750	ribulose-phosphate 3-epimerase activity	0	1	0	0.935849	1	161.5579049
GO:0009450	gamma-aminobutyric acid catabolic process	0	1	0	0.935849	1	161.5579049
GO:0003843	"1,3-beta-D-glucan synthase activity"	0	1	0	0.935849	1	161.5579049
GO:0006082	organic acid metabolic process	0	1	0	0.935849	1	161.5579049
GO:0019538	protein metabolic process	0	1	0	0.935849	1	161.5579049
GO:0016415	octanoyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0004855	xanthine oxidase activity	0	1	0	0.935849	1	161.5579049
GO:0007050	cell cycle arrest	0	1	0	0.935849	1	161.5579049
GO:0005093	Rab GDP-dissociation inhibitor activity	0	1	0	0.935849	1	161.5579049
GO:0030276	clathrin binding	0	1	0	0.935849	1	161.5579049
GO:0004592	pantoate-beta-alanine ligase activity	0	1	0	0.935849	1	161.5579049
GO:0004872	receptor activity	0	1	0	0.935849	1	161.5579049
GO:0004768	stearoyl-CoA 9-desaturase activity	0	1	0	0.935849	1	161.5579049
GO:0072588	box H/ACA RNP complex	0	1	0	0.935849	1	161.5579049
GO:0031204	"posttranslational protein targeting to membrane, translocation"	0	1	0	0.935849	1	161.5579049
GO:0016272	prefoldin complex	1	5	0.166666667	0.04605	6	175.2733768
GO:0031418	L-ascorbic acid binding	1	5	0.166666667	0.04605	6	175.2733768
GO:0043169	cation binding	1	5	0.166666667	0.04605	6	175.2733768
GO:0045454	cell redox homeostasis	3	17	0.15	0.000086	20	189.7030042
GO:0016884	"carbon-nitrogen ligase activity, with glutamine as amido-N-donor"	4	24	0.142857143	0.000003	28	197.2397884
GO:0006464	cellular protein modification process	2	11	0.153846154	0.001985	13	197.7777388
GO:0006071	glycerol metabolic process	1	6	0.142857143	0.043096	7	230.6691441
GO:0048038	quinone binding	1	6	0.142857143	0.043096	7	230.6691441
GO:0030145	manganese ion binding	1	6	0.142857143	0.043096	7	230.6691441
GO:0008138	protein tyrosine/serine/threonine phosphatase activity	1	6	0.142857143	0.043096	7	230.6691441
GO:0005783	endoplasmic reticulum	2	13	0.133333333	0.001738	15	274.5790341
GO:0006486	protein glycosylation	1	7	0.125	0.040331	8	289.2809701
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	1	7	0.125	0.040331	8	289.2809701
GO:0006414	translational elongation	1	7	0.125	0.040331	8	289.2809701
GO:0004489	methylenetetrahydrofolate reductase (NADPH) activity	0	2	0	0.875813	2	308.0687499
GO:0016407	acetyltransferase activity	0	2	0	0.875813	2	308.0687499
GO:0030176	integral to endoplasmic reticulum membrane	0	2	0	0.875813	2	308.0687499
GO:0008643	carbohydrate transport	0	2	0	0.875813	2	308.0687499
GO:0005794	Golgi apparatus	0	2	0	0.875813	2	308.0687499
GO:0045281	succinate dehydrogenase complex	0	2	0	0.875813	2	308.0687499
GO:0016872	intramolecular lyase activity	0	2	0	0.875813	2	308.0687499
GO:0006621	protein retention in ER lumen	0	2	0	0.875813	2	308.0687499
GO:0004751	ribose-5-phosphate isomerase activity	0	2	0	0.875813	2	308.0687499
GO:0010508	positive regulation of autophagy	0	2	0	0.875813	2	308.0687499
GO:0017056	structural constituent of nuclear pore	0	2	0	0.875813	2	308.0687499
GO:0008440	"inositol-1,4,5-trisphosphate 3-kinase activity"	0	2	0	0.875813	2	308.0687499
GO:0045263	"proton-transporting ATP synthase complex, coupling factor F(o)"	0	2	0	0.875813	2	308.0687499
GO:0006606	protein import into nucleus	0	2	0	0.875813	2	308.0687499
GO:0005853	eukaryotic translation elongation factor 1 complex	0	2	0	0.875813	2	308.0687499
GO:0009063	cellular amino acid catabolic process	0	2	0	0.875813	2	308.0687499
GO:0030337	DNA polymerase processivity factor activity	0	2	0	0.875813	2	308.0687499
GO:0006269	"DNA replication, synthesis of RNA primer"	0	2	0	0.875813	2	308.0687499
GO:0004449	isocitrate dehydrogenase (NAD+) activity	0	2	0	0.875813	2	308.0687499
GO:0009107	lipoate biosynthetic process	0	2	0	0.875813	2	308.0687499
GO:0009228	thiamine biosynthetic process	0	2	0	0.875813	2	308.0687499
GO:0006850	mitochondrial pyruvate transport	0	2	0	0.875813	2	308.0687499
GO:0051382	kinetochore assembly	0	2	0	0.875813	2	308.0687499
GO:0030479	actin cortical patch	0	2	0	0.875813	2	308.0687499
GO:0070290	NAPE-specific phospholipase D activity	0	2	0	0.875813	2	308.0687499
GO:0006569	tryptophan catabolic process	0	2	0	0.875813	2	308.0687499
GO:0005385	zinc ion transmembrane transporter activity	0	2	0	0.875813	2	308.0687499
GO:0032258	CVT pathway	0	2	0	0.875813	2	308.0687499
GO:0006461	protein complex assembly	0	2	0	0.875813	2	308.0687499
GO:0008290	F-actin capping protein complex	0	2	0	0.875813	2	308.0687499
GO:0006563	L-serine metabolic process	0	2	0	0.875813	2	308.0687499
GO:0004407	histone deacetylase activity	0	2	0	0.875813	2	308.0687499
GO:0009820	alkaloid metabolic process	0	2	0	0.875813	2	308.0687499
GO:0045893	"positive regulation of transcription, DNA-dependent"	0	2	0	0.875813	2	308.0687499
GO:0016255	attachment of GPI anchor to protein	0	2	0	0.875813	2	308.0687499
GO:0000042	protein targeting to Golgi	0	2	0	0.875813	2	308.0687499
GO:0015385	sodium:hydrogen antiporter activity	0	2	0	0.875813	2	308.0687499
GO:0006435	threonyl-tRNA aminoacylation	0	2	0	0.875813	2	308.0687499
GO:0004408	holocytochrome-c synthase activity	0	2	0	0.875813	2	308.0687499
GO:0046488	phosphatidylinositol metabolic process	0	2	0	0.875813	2	308.0687499
GO:0016641	"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor"	0	2	0	0.875813	2	308.0687499
GO:0016149	"translation release factor activity, codon specific"	0	2	0	0.875813	2	308.0687499
GO:0006437	tyrosyl-tRNA aminoacylation	0	2	0	0.875813	2	308.0687499
GO:0046923	ER retention sequence binding	0	2	0	0.875813	2	308.0687499
GO:0009156	ribonucleoside monophosphate biosynthetic process	0	2	0	0.875813	2	308.0687499
GO:0004830	tryptophan-tRNA ligase activity	0	2	0	0.875813	2	308.0687499
GO:0016209	antioxidant activity	0	2	0	0.875813	2	308.0687499
GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity	0	2	0	0.875813	2	308.0687499
GO:0006431	methionyl-tRNA aminoacylation	0	2	0	0.875813	2	308.0687499
GO:0004339	"glucan 1,4-alpha-glucosidase activity"	0	2	0	0.875813	2	308.0687499
GO:0072546	ER membrane protein complex	0	2	0	0.875813	2	308.0687499
GO:0004824	lysine-tRNA ligase activity	0	2	0	0.875813	2	308.0687499
GO:0004451	isocitrate lyase activity	0	2	0	0.875813	2	308.0687499
GO:0006573	valine metabolic process	0	2	0	0.875813	2	308.0687499
GO:0045039	protein import into mitochondrial inner membrane	0	2	0	0.875813	2	308.0687499
GO:0006424	glutamyl-tRNA aminoacylation	0	2	0	0.875813	2	308.0687499
GO:0008173	RNA methyltransferase activity	0	2	0	0.875813	2	308.0687499
GO:0045980	negative regulation of nucleotide metabolic process	0	2	0	0.875813	2	308.0687499
GO:0005750	mitochondrial respiratory chain complex III	0	2	0	0.875813	2	308.0687499
GO:0003994	aconitate hydratase activity	0	2	0	0.875813	2	308.0687499
GO:0004832	valine-tRNA ligase activity	0	2	0	0.875813	2	308.0687499
GO:0050364	tryptophan dimethylallyltransferase activity	0	2	0	0.875813	2	308.0687499
GO:0004421	hydroxymethylglutaryl-CoA synthase activity	0	2	0	0.875813	2	308.0687499
GO:0019904	protein domain specific binding	0	2	0	0.875813	2	308.0687499
GO:0008442	3-hydroxyisobutyrate dehydrogenase activity	0	2	0	0.875813	2	308.0687499
GO:0004048	anthranilate phosphoribosyltransferase activity	0	2	0	0.875813	2	308.0687499
GO:0006754	ATP biosynthetic process	0	2	0	0.875813	2	308.0687499
GO:0006772	thiamine metabolic process	0	2	0	0.875813	2	308.0687499
GO:0004825	methionine-tRNA ligase activity	0	2	0	0.875813	2	308.0687499
GO:0019789	SUMO ligase activity	0	2	0	0.875813	2	308.0687499
GO:0006890	"retrograde vesicle-mediated transport, Golgi to ER"	0	2	0	0.875813	2	308.0687499
GO:0004609	phosphatidylserine decarboxylase activity	0	2	0	0.875813	2	308.0687499
GO:0016668	"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	0	2	0	0.875813	2	308.0687499
GO:0003917	DNA topoisomerase type I activity	0	2	0	0.875813	2	308.0687499
GO:0008484	sulfuric ester hydrolase activity	0	2	0	0.875813	2	308.0687499
GO:0003838	sterol 24-C-methyltransferase activity	0	2	0	0.875813	2	308.0687499
GO:0004823	leucine-tRNA ligase activity	0	2	0	0.875813	2	308.0687499
GO:0046939	nucleotide phosphorylation	0	2	0	0.875813	2	308.0687499
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	0	2	0	0.875813	2	308.0687499
GO:0005615	extracellular space	0	2	0	0.875813	2	308.0687499
GO:0043546	molybdopterin cofactor binding	0	2	0	0.875813	2	308.0687499
GO:0006163	purine nucleotide metabolic process	0	2	0	0.875813	2	308.0687499
GO:0016670	"oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor"	0	2	0	0.875813	2	308.0687499
GO:0006006	glucose metabolic process	0	2	0	0.875813	2	308.0687499
GO:0030942	endoplasmic reticulum signal peptide binding	0	2	0	0.875813	2	308.0687499
GO:0008242	omega peptidase activity	0	2	0	0.875813	2	308.0687499
GO:0008276	protein methyltransferase activity	0	2	0	0.875813	2	308.0687499
GO:0031145	anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process	0	2	0	0.875813	2	308.0687499
GO:0006446	regulation of translational initiation	0	2	0	0.875813	2	308.0687499
GO:0004775	succinate-CoA ligase (ADP-forming) activity	0	2	0	0.875813	2	308.0687499
GO:0031931	TORC1 complex	0	2	0	0.875813	2	308.0687499
GO:0016742	"hydroxymethyl-, formyl- and related transferase activity"	0	2	0	0.875813	2	308.0687499
GO:0004322	ferroxidase activity	0	2	0	0.875813	2	308.0687499
GO:0016639	"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"	0	2	0	0.875813	2	308.0687499
GO:0015706	nitrate transport	0	2	0	0.875813	2	308.0687499
GO:0004713	protein tyrosine kinase activity	0	2	0	0.875813	2	308.0687499
GO:0015113	nitrite transmembrane transporter activity	0	2	0	0.875813	2	308.0687499
GO:0007205	protein kinase C-activating G-protein coupled receptor signaling pathway	0	2	0	0.875813	2	308.0687499
GO:0006221	pyrimidine nucleotide biosynthetic process	0	2	0	0.875813	2	308.0687499
GO:0042128	nitrate assimilation	0	2	0	0.875813	2	308.0687499
GO:0007059	chromosome segregation	0	2	0	0.875813	2	308.0687499
GO:0006419	alanyl-tRNA aminoacylation	0	2	0	0.875813	2	308.0687499
GO:0000256	allantoin catabolic process	0	2	0	0.875813	2	308.0687499
GO:0033557	Slx1-Slx4 complex	0	2	0	0.875813	2	308.0687499
GO:0003861	3-isopropylmalate dehydratase activity	0	2	0	0.875813	2	308.0687499
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	0	2	0	0.875813	2	308.0687499
GO:0032065	cortical protein anchoring	0	2	0	0.875813	2	308.0687499
GO:0005786	"signal recognition particle, endoplasmic reticulum targeting"	0	2	0	0.875813	2	308.0687499
GO:0004831	tyrosine-tRNA ligase activity	0	2	0	0.875813	2	308.0687499
GO:0030130	clathrin coat of trans-Golgi network vesicle	0	2	0	0.875813	2	308.0687499
GO:0004645	phosphorylase activity	0	2	0	0.875813	2	308.0687499
GO:0019354	siroheme biosynthetic process	0	2	0	0.875813	2	308.0687499
GO:0045226	extracellular polysaccharide biosynthetic process	0	2	0	0.875813	2	308.0687499
